Trip_Type,Surroundings,Room_Type,Season,Duration_Days,Activity_To_Perform,Budget_INR,Destination
Backpacking Trip,Hills,Heritage Hotel,Summer,6,Motorcycling,72597,West Bengal
Honeymoon Trip,Temples,Ashram Accommodation,Winter,7,Honeymoon Cruise,72597,Madhya Pradesh
Adventure Trip,City,Beachfront Resort,Monsoon,3,Camping,72597,Uttar Pradesh
Solo Trip,Forest,Luxury Hotel,Summer,10,Motorcycling,72597,Madhya Pradesh
Honeymoon Trip,Mountains,Houseboat,Monsoon,7,Ayurvedic Spa,72597,Uttarakhand
Wildlife Trip,Mountains,Beachfront Resort,Autumn,3,Safari,72597,Jammu and Kashmir
Cultural Trip,French Colony,Heritage Hotel,Monsoon,7,Temple hopping,72597,Puducherry
Adventure Trip,Hills,Houseboat,Monsoon,9,White Water Rafting,72597,Kerala
Group Trip,Backwaters,Beachfront Resort,Summer,9,Heritage Walk,72597,Kerala
Adventure Trip,Royal Palaces,Jungle Lodge,Monsoon,6,White Water Rafting,72597,Rajasthan
Family Trip,City,Beachfront Resort,Summer,8,Toy Train Ride,72597,Uttar Pradesh
Family Trip,City,Homestay,Spring,7,Heritage Walk,72597,Uttar Pradesh
Adventure Trip,Mountains,Luxury Hotel,Winter,3,Scuba Diving,72597,Jammu and Kashmir
Solo Trip,Temple Town,Beachfront Villa,Summer,5,Skiing,72597,Maharashtra
Honeymoon Trip,City,Jungle Lodge,Autumn,6,Scuba Diving,72597,Uttar Pradesh
Honeymoon Trip,Temple Town,Luxury Hotel,Spring,5,Ayurvedic Spa,72597,Maharashtra
Pilgrimage Trip,Forest,Camping,Summer,9,Religious visit,72597,Maharashtra
Pilgrimage Trip,Backwaters,Jungle Lodge,Summer,4,Religious visit,72597,Kerala
Wildlife Trip,Temple Town,Luxury Hotel,Monsoon,3,Safari,72597,Maharashtra
Wildlife Trip,Forest,Homestay,Autumn,5,Safari,72597,Maharashtra
Pilgrimage Trip,French Colony,Houseboat,Summer,10,Religious visit,72597,Puducherry
Adventure Trip,City,Heritage Hotel,Summer,9,White Water Rafting,72597,Uttar Pradesh
Cultural Trip,Beach,Beachfront Villa,Spring,4,Temple hopping,72597,Goa
Family Trip,Mountains,Hostel Dorm,Autumn,4,Sightseeing,72597,Jammu and Kashmir
Solo Trip,French Colony,Homestay,Winter,8,Trekking,72597,Puducherry
Romantic Getaway,City,Houseboat,Winter,2,Ayurvedic Spa,72597,Uttar Pradesh
Adventure Trip,Forest,Beachfront Villa,Autumn,3,Scuba Diving,72597,Madhya Pradesh
Solo Trip,Mountains,Luxury Hotel,Monsoon,6,Scuba Diving,72597,Jammu and Kashmir
Solo Trip,French Colony,Camping,Winter,8,Scuba Diving,72597,Puducherry
Backpacking Trip,Temples,Camping,Spring,6,Camping,72597,Madhya Pradesh
Family Trip,Mountains,Houseboat,Winter,10,Sightseeing,72597,Ladakh
Honeymoon Trip,Hills,Homestay,Winter,4,Ayurvedic Spa,72597,West Bengal
Group Trip,Temple Town,Beachfront Villa,Monsoon,9,Temple hopping,72597,Maharashtra
Pilgrimage Trip,Hills,Ashram Accommodation,Monsoon,4,Religious visit,72597,West Bengal
Adventure Trip,Desert,Jungle Lodge,Winter,7,Motorcycling,72597,Ladakh
Romantic Getaway,Mountains,Ashram Accommodation,Monsoon,9,Relaxation,72597,Jammu and Kashmir
Backpacking Trip,Beach,Hostel Dorm,Monsoon,10,Heritage Walk,72597,Goa
Romantic Getaway,Beach,Beachfront Resort,Monsoon,7,Relaxation,72597,Goa
Romantic Getaway,Hills,Homestay,Summer,6,Relaxation,72597,Kerala
Solo Trip,City,Hostel Dorm,Monsoon,3,Relaxation,72597,Uttar Pradesh
Adventure Trip,Forest,Luxury Hotel,Monsoon,2,Scuba Diving,72597,Maharashtra
Wildlife Trip,Temple Town,Hostel Dorm,Spring,4,Safari,72597,Maharashtra
Honeymoon Trip,Royal Palaces,Hostel Dorm,Monsoon,4,Sightseeing,72597,Rajasthan
Solo Trip,Forest,Beachfront Villa,Summer,2,Motorcycling,72597,Maharashtra
Family Trip,Hills,Luxury Hotel,Winter,3,Toy Train Ride,72597,West Bengal
Adventure Trip,Temple Town,Ashram Accommodation,Autumn,6,Motorcycling,72597,Maharashtra
Wildlife Trip,Backwaters,Houseboat,Spring,3,Safari,72597,Kerala
Wildlife Trip,Mountains,Beachfront Resort,Monsoon,2,Safari,72597,Himachal Pradesh
Backpacking Trip,Forest,Camping,Spring,2,Heritage Walk,72597,Madhya Pradesh
Cultural Trip,Temples,Beachfront Villa,Spring,5,Temple hopping,72597,Madhya Pradesh
Pilgrimage Trip,Forest,Hostel Dorm,Summer,6,Religious visit,72597,Madhya Pradesh
Adventure Trip,City,Hostel Dorm,Spring,10,Motorcycling,72597,Uttar Pradesh
Adventure Trip,Religious Town,Beachfront Resort,Winter,3,Motorcycling,72597,Uttar Pradesh
Backpacking Trip,Forest,Hostel Dorm,Monsoon,9,Camping,72597,Madhya Pradesh
Cultural Trip,Islands,Homestay,Monsoon,7,Heritage Walk,72597,Andaman & Nicobar Islands
Backpacking Trip,Hills,Beachfront Villa,Summer,10,Trekking,72597,West Bengal
Backpacking Trip,Religious Town,Luxury Hotel,Autumn,10,Camping,72597,Uttar Pradesh
Group Trip,Religious Town,Camping,Spring,9,Temple hopping,72597,Uttar Pradesh
Wildlife Trip,French Colony,Beachfront Villa,Spring,8,Safari,72597,Puducherry
Backpacking Trip,Mountains,Homestay,Summer,6,Motorcycling,72597,Jammu and Kashmir
Romantic Getaway,Deserts,Jungle Lodge,Monsoon,2,Honeymoon Cruise,72597,Rajasthan
Solo Trip,City,Ashram Accommodation,Spring,4,Trekking,72597,Uttar Pradesh
Backpacking Trip,Forest,Ashram Accommodation,Autumn,5,Trekking,72597,Madhya Pradesh
Pilgrimage Trip,Forest,Beachfront Villa,Winter,7,Religious visit,72597,Maharashtra
Family Trip,Deserts,Heritage Hotel,Monsoon,4,Ayurvedic Spa,72597,Rajasthan
Romantic Getaway,Mountains,Ashram Accommodation,Monsoon,9,Relaxation,72597,Uttarakhand
Cultural Trip,Backwaters,Beachfront Villa,Winter,2,Temple hopping,72597,Kerala
Solo Trip,Temples,Houseboat,Autumn,3,Relaxation,72597,Madhya Pradesh
Group Trip,Royal Palaces,Hostel Dorm,Spring,10,Temple hopping,72597,Rajasthan
Wildlife Trip,Beach,Jungle Lodge,Monsoon,4,Safari,72597,Andaman & Nicobar Islands
Adventure Trip,Islands,Heritage Hotel,Monsoon,8,White Water Rafting,72597,Andaman & Nicobar Islands
Cultural Trip,Backwaters,Luxury Hotel,Autumn,9,Heritage Walk,72597,Kerala
Honeymoon Trip,Backwaters,Ashram Accommodation,Spring,6,Relaxation,72597,Kerala
Solo Trip,Temple Town,Houseboat,Monsoon,9,Relaxation,72597,Maharashtra
Wildlife Trip,Temple Town,Ashram Accommodation,Summer,3,Safari,72597,Maharashtra
Wildlife Trip,Temples,Ashram Accommodation,Spring,6,Safari,72597,Madhya Pradesh
Romantic Getaway,Religious Town,Jungle Lodge,Autumn,6,Scuba Diving,72597,Uttar Pradesh
Pilgrimage Trip,Temples,Beachfront Resort,Winter,2,Religious visit,72597,Madhya Pradesh
Honeymoon Trip,Mountains,Beachfront Resort,Winter,2,Relaxation,72597,Himachal Pradesh
Honeymoon Trip,Forest,Homestay,Winter,9,Sightseeing,72597,Maharashtra
Solo Trip,Forest,Ashram Accommodation,Autumn,3,Skiing,72597,Maharashtra
Solo Trip,Hills,Jungle Lodge,Monsoon,10,Skiing,72597,West Bengal
Solo Trip,Mountains,Houseboat,Summer,9,Relaxation,72597,Himachal Pradesh
Solo Trip,Religious Town,Homestay,Summer,4,Motorcycling,72597,Uttar Pradesh
Solo Trip,Royal Palaces,Luxury Hotel,Monsoon,6,Scuba Diving,72597,Rajasthan
Cultural Trip,Desert,Hostel Dorm,Spring,5,Temple hopping,72597,Ladakh
Solo Trip,Backwaters,Ashram Accommodation,Spring,4,Trekking,72597,Kerala
Wildlife Trip,Deserts,Beachfront Villa,Winter,2,Safari,72597,Rajasthan
Wildlife Trip,Beach,Camping,Autumn,5,Safari,72597,Andaman & Nicobar Islands
Adventure Trip,Beach,Beachfront Villa,Winter,6,Trekking,72597,Goa
Honeymoon Trip,Backwaters,Houseboat,Autumn,5,Honeymoon Cruise,72597,Kerala
Backpacking Trip,Mountains,Ashram Accommodation,Summer,3,Trekking,72597,Himachal Pradesh
Cultural Trip,Hills,Luxury Hotel,Autumn,8,Heritage Walk,72597,West Bengal
Cultural Trip,Royal Palaces,Hostel Dorm,Spring,8,Temple hopping,72597,Rajasthan
Solo Trip,Hills,Jungle Lodge,Spring,2,Trekking,72597,Kerala
Cultural Trip,Beach,Houseboat,Winter,10,Temple hopping,72597,Andaman & Nicobar Islands
Group Trip,Hills,Heritage Hotel,Monsoon,8,Relaxation,72597,Kerala
Cultural Trip,Mountains,Heritage Hotel,Summer,4,Heritage Walk,72597,Jammu and Kashmir
Backpacking Trip,Backwaters,Jungle Lodge,Winter,8,Camping,72597,Kerala
Romantic Getaway,Beach,Houseboat,Monsoon,8,Relaxation,72597,Goa
Wildlife Trip,Mountains,Luxury Hotel,Monsoon,8,Safari,72597,Uttarakhand
Cultural Trip,Religious Town,Hostel Dorm,Autumn,6,Heritage Walk,72597,Uttar Pradesh
Romantic Getaway,Mountains,Beachfront Resort,Spring,5,Honeymoon Cruise,72597,Jammu and Kashmir
Honeymoon Trip,Mountains,Beachfront Villa,Summer,8,Ayurvedic Spa,72597,Himachal Pradesh
Pilgrimage Trip,Mountains,Heritage Hotel,Summer,7,Religious visit,72597,Jammu and Kashmir
Solo Trip,Mountains,Luxury Hotel,Summer,3,Scuba Diving,72597,Uttarakhand
Backpacking Trip,Mountains,Beachfront Villa,Autumn,8,Camping,72597,Jammu and Kashmir
Solo Trip,Mountains,Hostel Dorm,Winter,2,Skiing,72597,Himachal Pradesh
Romantic Getaway,Beach,Beachfront Villa,Summer,6,Honeymoon Cruise,72597,Goa
Group Trip,French Colony,Heritage Hotel,Monsoon,9,Toy Train Ride,72597,Puducherry
Pilgrimage Trip,Hills,Hostel Dorm,Autumn,8,Religious visit,72597,West Bengal
Honeymoon Trip,French Colony,Heritage Hotel,Summer,7,Honeymoon Cruise,72597,Puducherry
Pilgrimage Trip,Backwaters,Camping,Autumn,3,Religious visit,72597,Kerala
Backpacking Trip,Mountains,Camping,Monsoon,8,Motorcycling,72597,Himachal Pradesh
Pilgrimage Trip,Backwaters,Beachfront Resort,Spring,2,Religious visit,72597,Kerala
Solo Trip,Temple Town,Heritage Hotel,Spring,3,Skiing,72597,Maharashtra
Solo Trip,Beach,Camping,Autumn,8,Skiing,72597,Goa
Cultural Trip,Temples,Luxury Hotel,Monsoon,10,Heritage Walk,72597,Madhya Pradesh
Adventure Trip,Hills,Beachfront Resort,Spring,5,Scuba Diving,72597,Kerala
Wildlife Trip,Beach,Beachfront Villa,Spring,6,Safari,72597,Goa
Family Trip,Hills,Homestay,Spring,3,Sightseeing,72597,Kerala
Group Trip,Mountains,Ashram Accommodation,Monsoon,10,Sightseeing,72597,Jammu and Kashmir
Adventure Trip,Backwaters,Jungle Lodge,Winter,2,Motorcycling,72597,Kerala
Cultural Trip,Backwaters,Jungle Lodge,Winter,4,Heritage Walk,72597,Kerala
Backpacking Trip,Temple Town,Beachfront Resort,Monsoon,2,Motorcycling,72597,Maharashtra
Romantic Getaway,Backwaters,Hostel Dorm,Monsoon,7,Relaxation,72597,Kerala
Solo Trip,Forest,Beachfront Villa,Spring,7,Skiing,72597,Maharashtra
Romantic Getaway,Royal Palaces,Hostel Dorm,Spring,4,Scuba Diving,72597,Rajasthan
Honeymoon Trip,Backwaters,Luxury Hotel,Autumn,10,Honeymoon Cruise,72597,Kerala
Wildlife Trip,Mountains,Jungle Lodge,Summer,5,Safari,72597,Himachal Pradesh
Honeymoon Trip,French Colony,Luxury Hotel,Winter,6,Sightseeing,72597,Puducherry
Romantic Getaway,City,Homestay,Autumn,3,Ayurvedic Spa,72597,Uttar Pradesh
Cultural Trip,Backwaters,Heritage Hotel,Monsoon,8,Temple hopping,72597,Kerala
Cultural Trip,Mountains,Camping,Spring,2,Temple hopping,72597,Jammu and Kashmir
Group Trip,Beach,Jungle Lodge,Autumn,8,Temple hopping,72597,Goa
Backpacking Trip,Temples,Houseboat,Spring,7,Motorcycling,72597,Madhya Pradesh
Honeymoon Trip,Forest,Hostel Dorm,Winter,6,Relaxation,72597,Madhya Pradesh
Pilgrimage Trip,French Colony,Heritage Hotel,Monsoon,3,Religious visit,72597,Puducherry
Group Trip,Forest,Jungle Lodge,Summer,6,Heritage Walk,72597,Madhya Pradesh
Wildlife Trip,French Colony,Jungle Lodge,Winter,6,Safari,72597,Puducherry
Backpacking Trip,Backwaters,Jungle Lodge,Monsoon,9,Trekking,72597,Kerala
Solo Trip,Backwaters,Luxury Hotel,Spring,7,Relaxation,72597,Kerala
Honeymoon Trip,Backwaters,Ashram Accommodation,Summer,10,Scuba Diving,72597,Kerala
Group Trip,Deserts,Luxury Hotel,Autumn,7,Relaxation,72597,Rajasthan
Cultural Trip,Temples,Beachfront Resort,Monsoon,9,Temple hopping,72597,Madhya Pradesh
Solo Trip,Temple Town,Jungle Lodge,Winter,10,Scuba Diving,72597,Maharashtra
Romantic Getaway,Backwaters,Ashram Accommodation,Winter,9,Ayurvedic Spa,72597,Kerala
Cultural Trip,Islands,Camping,Autumn,8,Temple hopping,72597,Andaman & Nicobar Islands
Romantic Getaway,Desert,Homestay,Winter,10,Relaxation,72597,Ladakh
Wildlife Trip,Mountains,Jungle Lodge,Monsoon,6,Safari,72597,Uttarakhand
Pilgrimage Trip,Mountains,Beachfront Resort,Winter,9,Religious visit,72597,Himachal Pradesh
Family Trip,Mountains,Ashram Accommodation,Summer,6,Sightseeing,72597,Uttarakhand
Romantic Getaway,Forest,Hostel Dorm,Monsoon,6,Ayurvedic Spa,72597,Maharashtra
Pilgrimage Trip,Forest,Houseboat,Summer,5,Religious visit,72597,Madhya Pradesh
Adventure Trip,Desert,Beachfront Villa,Monsoon,9,Camping,72597,Ladakh
Family Trip,Backwaters,Luxury Hotel,Summer,10,Heritage Walk,72597,Kerala
Adventure Trip,Mountains,Homestay,Autumn,3,White Water Rafting,72597,Uttarakhand
Family Trip,Temples,Luxury Hotel,Summer,2,Heritage Walk,72597,Madhya Pradesh
Family Trip,Mountains,Jungle Lodge,Summer,7,Toy Train Ride,72597,Himachal Pradesh
Cultural Trip,French Colony,Luxury Hotel,Spring,7,Heritage Walk,72597,Puducherry
Honeymoon Trip,Mountains,Luxury Hotel,Autumn,6,Honeymoon Cruise,72597,Jammu and Kashmir
Solo Trip,Forest,Homestay,Autumn,5,Motorcycling,72597,Madhya Pradesh
Backpacking Trip,Forest,Camping,Summer,7,Motorcycling,72597,Maharashtra
Pilgrimage Trip,Hills,Luxury Hotel,Spring,7,Religious visit,72597,Kerala
Group Trip,City,Hostel Dorm,Spring,10,Sightseeing,72597,Uttar Pradesh
Backpacking Trip,Beach,Houseboat,Winter,6,Heritage Walk,72597,Andaman & Nicobar Islands
Honeymoon Trip,Religious Town,Jungle Lodge,Spring,9,Relaxation,72597,Uttar Pradesh
Pilgrimage Trip,Forest,Luxury Hotel,Monsoon,4,Religious visit,72597,Maharashtra
Wildlife Trip,City,Jungle Lodge,Autumn,6,Safari,72597,Uttar Pradesh
Romantic Getaway,Forest,Jungle Lodge,Monsoon,10,Ayurvedic Spa,72597,Madhya Pradesh
Family Trip,Royal Palaces,Camping,Winter,2,Ayurvedic Spa,72597,Rajasthan
Cultural Trip,Hills,Heritage Hotel,Summer,6,Heritage Walk,72597,Kerala
Wildlife Trip,Islands,Luxury Hotel,Winter,7,Safari,72597,Andaman & Nicobar Islands
Adventure Trip,Hills,Luxury Hotel,Spring,5,Camping,72597,West Bengal
Romantic Getaway,Mountains,Camping,Winter,10,Relaxation,72597,Himachal Pradesh
Romantic Getaway,Royal Palaces,Ashram Accommodation,Summer,8,Honeymoon Cruise,72597,Rajasthan
Solo Trip,Mountains,Hostel Dorm,Autumn,6,Skiing,72597,Uttarakhand
Solo Trip,Forest,Jungle Lodge,Spring,10,Relaxation,72597,Madhya Pradesh
Honeymoon Trip,Temples,Homestay,Autumn,2,Sightseeing,72597,Madhya Pradesh
Honeymoon Trip,Mountains,Houseboat,Spring,4,Relaxation,72597,Himachal Pradesh
Cultural Trip,City,Homestay,Spring,7,Heritage Walk,72597,Uttar Pradesh
Cultural Trip,Mountains,Houseboat,Winter,9,Temple hopping,72597,Jammu and Kashmir
Pilgrimage Trip,Backwaters,Jungle Lodge,Autumn,3,Religious visit,72597,Kerala
Pilgrimage Trip,Religious Town,Luxury Hotel,Spring,6,Religious visit,72597,Uttar Pradesh
Backpacking Trip,Deserts,Beachfront Resort,Spring,8,Trekking,72597,Rajasthan
Group Trip,Mountains,Beachfront Resort,Spring,8,Sightseeing,72597,Himachal Pradesh
Wildlife Trip,Forest,Jungle Lodge,Autumn,8,Safari,72597,Maharashtra
Cultural Trip,Hills,Beachfront Resort,Summer,6,Temple hopping,72597,Kerala
Romantic Getaway,Desert,Houseboat,Winter,4,Relaxation,72597,Ladakh
Adventure Trip,Hills,Heritage Hotel,Spring,8,Scuba Diving,72597,Kerala
Family Trip,Mountains,Luxury Hotel,Spring,7,Ayurvedic Spa,72597,Himachal Pradesh
Cultural Trip,French Colony,Homestay,Winter,6,Temple hopping,72597,Puducherry
Group Trip,Mountains,Homestay,Spring,4,Sightseeing,72597,Uttarakhand
Wildlife Trip,Backwaters,Beachfront Resort,Spring,10,Safari,72597,Kerala
Family Trip,Mountains,Camping,Autumn,6,Ayurvedic Spa,72597,Himachal Pradesh
Family Trip,Mountains,Hostel Dorm,Autumn,10,Ayurvedic Spa,72597,Jammu and Kashmir
Honeymoon Trip,Temples,Heritage Hotel,Summer,10,Honeymoon Cruise,72597,Madhya Pradesh
Pilgrimage Trip,Mountains,Ashram Accommodation,Winter,5,Religious visit,72597,Himachal Pradesh
Honeymoon Trip,Religious Town,Homestay,Spring,9,Ayurvedic Spa,72597,Uttar Pradesh
Cultural Trip,Deserts,Heritage Hotel,Summer,7,Temple hopping,72597,Rajasthan
Group Trip,Forest,Ashram Accommodation,Summer,6,Relaxation,72597,Maharashtra
Wildlife Trip,City,Hostel Dorm,Spring,3,Safari,72597,Uttar Pradesh
Group Trip,Mountains,Beachfront Resort,Spring,5,Toy Train Ride,72597,Himachal Pradesh
Solo Trip,Temple Town,Houseboat,Monsoon,10,Skiing,72597,Maharashtra
Adventure Trip,Mountains,Heritage Hotel,Summer,9,Camping,72597,Jammu and Kashmir
Group Trip,Mountains,Camping,Spring,10,Relaxation,72597,Ladakh
Romantic Getaway,City,Beachfront Resort,Spring,9,Honeymoon Cruise,72597,Uttar Pradesh
Backpacking Trip,Beach,Hostel Dorm,Spring,9,Camping,72597,Goa
Adventure Trip,Mountains,Beachfront Resort,Monsoon,10,Trekking,72597,Uttarakhand
Solo Trip,Beach,Luxury Hotel,Winter,6,Relaxation,72597,Goa
Family Trip,Temples,Camping,Monsoon,6,Relaxation,72597,Madhya Pradesh
Family Trip,Desert,Beachfront Villa,Winter,4,Heritage Walk,72597,Ladakh
Romantic Getaway,Temples,Beachfront Villa,Winter,5,Honeymoon Cruise,72597,Madhya Pradesh
Family Trip,Temple Town,Camping,Summer,2,Toy Train Ride,72597,Maharashtra
Family Trip,Mountains,Jungle Lodge,Summer,4,Sightseeing,72597,Himachal Pradesh
Honeymoon Trip,Forest,Beachfront Resort,Autumn,7,Scuba Diving,72597,Maharashtra
Solo Trip,Beach,Luxury Hotel,Autumn,8,Trekking,72597,Goa
Pilgrimage Trip,Mountains,Beachfront Villa,Spring,8,Religious visit,72597,Uttarakhand
Solo Trip,Backwaters,Homestay,Autumn,3,Scuba Diving,72597,Kerala
Backpacking Trip,Temples,Homestay,Monsoon,7,Motorcycling,72597,Madhya Pradesh
Honeymoon Trip,Royal Palaces,Beachfront Villa,Spring,8,Sightseeing,72597,Rajasthan
Pilgrimage Trip,Forest,Houseboat,Spring,2,Religious visit,72597,Maharashtra
Adventure Trip,Desert,Heritage Hotel,Autumn,9,Camping,72597,Ladakh
Wildlife Trip,City,Beachfront Villa,Spring,7,Safari,72597,Uttar Pradesh
Wildlife Trip,Hills,Heritage Hotel,Spring,8,Safari,72597,Kerala
Group Trip,Mountains,Beachfront Resort,Spring,4,Heritage Walk,72597,Himachal Pradesh
Backpacking Trip,Beach,Camping,Summer,9,Camping,72597,Goa
Wildlife Trip,Hills,Houseboat,Spring,10,Safari,72597,West Bengal
Backpacking Trip,Hills,Beachfront Villa,Autumn,3,Camping,72597,West Bengal
Group Trip,Forest,Houseboat,Monsoon,9,Relaxation,72597,Maharashtra
Pilgrimage Trip,City,Jungle Lodge,Summer,10,Religious visit,72597,Uttar Pradesh
Wildlife Trip,Forest,Hostel Dorm,Winter,3,Safari,72597,Madhya Pradesh
Group Trip,Deserts,Camping,Winter,6,Temple hopping,72597,Rajasthan
Honeymoon Trip,Royal Palaces,Heritage Hotel,Autumn,5,Sightseeing,72597,Rajasthan
Honeymoon Trip,Religious Town,Hostel Dorm,Summer,6,Honeymoon Cruise,72597,Uttar Pradesh
Honeymoon Trip,Beach,Beachfront Resort,Monsoon,5,Relaxation,72597,Goa
Family Trip,Backwaters,Hostel Dorm,Spring,5,Toy Train Ride,72597,Kerala
Wildlife Trip,City,Jungle Lodge,Spring,3,Safari,72597,Uttar Pradesh
Cultural Trip,Royal Palaces,Luxury Hotel,Spring,9,Temple hopping,72597,Rajasthan
Cultural Trip,Hills,Heritage Hotel,Spring,2,Temple hopping,72597,West Bengal
Pilgrimage Trip,City,Camping,Summer,6,Religious visit,72597,Uttar Pradesh
Pilgrimage Trip,Mountains,Jungle Lodge,Winter,3,Religious visit,72597,Ladakh
Family Trip,Mountains,Camping,Autumn,4,Ayurvedic Spa,72597,Himachal Pradesh
Group Trip,Backwaters,Beachfront Resort,Monsoon,9,Toy Train Ride,72597,Kerala
Romantic Getaway,French Colony,Beachfront Resort,Winter,6,Relaxation,72597,Puducherry
Honeymoon Trip,French Colony,Beachfront Villa,Autumn,9,Sightseeing,72597,Puducherry
Adventure Trip,Mountains,Houseboat,Spring,4,White Water Rafting,72597,Himachal Pradesh
Group Trip,City,Houseboat,Autumn,2,Temple hopping,72597,Uttar Pradesh
Backpacking Trip,Temple Town,Camping,Autumn,6,Camping,72597,Maharashtra
Adventure Trip,Mountains,Houseboat,Summer,3,Motorcycling,72597,Himachal Pradesh
Group Trip,Religious Town,Houseboat,Monsoon,9,Toy Train Ride,72597,Uttar Pradesh
Wildlife Trip,Temples,Beachfront Villa,Autumn,6,Safari,72597,Madhya Pradesh
Pilgrimage Trip,Temple Town,Houseboat,Summer,8,Religious visit,72597,Maharashtra
Adventure Trip,City,Ashram Accommodation,Winter,8,Motorcycling,72597,Uttar Pradesh
Solo Trip,Mountains,Luxury Hotel,Summer,10,Trekking,72597,Uttarakhand
Adventure Trip,Mountains,Beachfront Resort,Spring,5,Scuba Diving,72597,Jammu and Kashmir
Honeymoon Trip,Mountains,Ashram Accommodation,Spring,3,Sightseeing,72597,Himachal Pradesh
Family Trip,Temple Town,Beachfront Villa,Summer,6,Relaxation,72597,Maharashtra
Honeymoon Trip,Beach,Beachfront Villa,Autumn,8,Ayurvedic Spa,72597,Goa
Wildlife Trip,Forest,Jungle Lodge,Autumn,9,Safari,72597,Maharashtra
Wildlife Trip,Hills,Jungle Lodge,Monsoon,5,Safari,72597,Kerala
Honeymoon Trip,Hills,Ashram Accommodation,Winter,5,Sightseeing,72597,West Bengal
Family Trip,Hills,Camping,Autumn,10,Ayurvedic Spa,72597,Kerala
Group Trip,French Colony,Ashram Accommodation,Summer,2,Sightseeing,72597,Puducherry
Solo Trip,Beach,Beachfront Resort,Winter,6,Relaxation,72597,Goa
Backpacking Trip,Desert,Heritage Hotel,Autumn,8,Camping,72597,Ladakh
Backpacking Trip,Beach,Ashram Accommodation,Winter,7,Trekking,72597,Andaman & Nicobar Islands
Adventure Trip,Mountains,Hostel Dorm,Autumn,4,White Water Rafting,72597,Jammu and Kashmir
Wildlife Trip,Temple Town,Ashram Accommodation,Monsoon,6,Safari,72597,Maharashtra
Backpacking Trip,Mountains,Houseboat,Summer,4,Trekking,72597,Himachal Pradesh
Pilgrimage Trip,Temple Town,Homestay,Summer,10,Religious visit,72597,Maharashtra
Pilgrimage Trip,Backwaters,Luxury Hotel,Winter,4,Religious visit,72597,Kerala
Solo Trip,Religious Town,Homestay,Summer,2,Trekking,72597,Uttar Pradesh
Cultural Trip,Mountains,Luxury Hotel,Summer,6,Heritage Walk,72597,Uttarakhand
Cultural Trip,Forest,Ashram Accommodation,Winter,6,Heritage Walk,72597,Madhya Pradesh
Wildlife Trip,Forest,Ashram Accommodation,Monsoon,2,Safari,72597,Maharashtra
Backpacking Trip,Hills,Beachfront Resort,Spring,7,Motorcycling,72597,West Bengal
Wildlife Trip,Deserts,Houseboat,Spring,2,Safari,72597,Rajasthan
Pilgrimage Trip,Hills,Hostel Dorm,Monsoon,10,Religious visit,72597,West Bengal
Family Trip,Mountains,Camping,Monsoon,4,Heritage Walk,72597,Himachal Pradesh
Solo Trip,Forest,Beachfront Resort,Autumn,2,Trekking,72597,Madhya Pradesh
Backpacking Trip,Backwaters,Houseboat,Summer,7,Heritage Walk,72597,Kerala
Romantic Getaway,Mountains,Beachfront Resort,Monsoon,3,Honeymoon Cruise,72597,Jammu and Kashmir
Backpacking Trip,Mountains,Ashram Accommodation,Summer,5,Motorcycling,72597,Himachal Pradesh
Cultural Trip,Hills,Luxury Hotel,Spring,6,Temple hopping,72597,Kerala
Romantic Getaway,Religious Town,Luxury Hotel,Monsoon,8,Scuba Diving,72597,Uttar Pradesh
Pilgrimage Trip,City,Hostel Dorm,Winter,2,Religious visit,72597,Uttar Pradesh
Romantic Getaway,Beach,Luxury Hotel,Summer,7,Ayurvedic Spa,72597,Andaman & Nicobar Islands
Family Trip,French Colony,Camping,Winter,2,Ayurvedic Spa,72597,Puducherry
Backpacking Trip,Backwaters,Houseboat,Summer,9,Heritage Walk,72597,Kerala
Pilgrimage Trip,Hills,Camping,Monsoon,8,Religious visit,72597,West Bengal
Cultural Trip,Beach,Ashram Accommodation,Monsoon,4,Temple hopping,72597,Andaman & Nicobar Islands
Honeymoon Trip,Forest,Homestay,Summer,7,Sightseeing,72597,Maharashtra
Honeymoon Trip,Mountains,Ashram Accommodation,Monsoon,8,Relaxation,72597,Himachal Pradesh
Pilgrimage Trip,Religious Town,Camping,Spring,2,Religious visit,72597,Uttar Pradesh
Cultural Trip,Temple Town,Heritage Hotel,Spring,6,Temple hopping,72597,Maharashtra
Cultural Trip,Mountains,Beachfront Villa,Winter,4,Temple hopping,72597,Ladakh
Pilgrimage Trip,Backwaters,Jungle Lodge,Monsoon,3,Religious visit,72597,Kerala
Group Trip,Mountains,Jungle Lodge,Spring,9,Toy Train Ride,72597,Ladakh
Cultural Trip,Mountains,Hostel Dorm,Monsoon,9,Heritage Walk,72597,Jammu and Kashmir
Romantic Getaway,Mountains,Beachfront Villa,Summer,2,Ayurvedic Spa,72597,Himachal Pradesh
Romantic Getaway,Forest,Jungle Lodge,Spring,5,Ayurvedic Spa,72597,Maharashtra
Solo Trip,Hills,Beachfront Resort,Winter,3,Skiing,72597,West Bengal
Romantic Getaway,Backwaters,Hostel Dorm,Autumn,2,Ayurvedic Spa,72597,Kerala
Backpacking Trip,Forest,Heritage Hotel,Autumn,2,Heritage Walk,72597,Madhya Pradesh
Adventure Trip,Backwaters,Hostel Dorm,Spring,2,Camping,72597,Kerala
